scenario,fitness,collision,execution_time
0_pop_0,67.48366249116737,None,60
0_pop_1,64.97166017037975,None,60
0_pop_2,107.56631881255684,NPC,6
0_pop_3,103.86445498766325,NPC,5
0_pop_4,106.41185945307828,NPC,5
0_pop_5,64.2113269046992,None,60
0_pop_6,63.29029833430046,None,60
0_pop_7,106.54021186990984,Ego,6
0_pop_8,105.31733143364393,NPC,20
0_pop_9,106.60180081529374,NPC,20
1_pop_0,204.09970211192942,Ego,55
1_pop_1,64.74341545183488,None,60
1_pop_2,108.04785373693842,Ego,6
1_pop_3,103.42864846898345,NPC,5
1_pop_4,103.99287572714816,NPC,5
1_pop_5,64.08366610626547,None,60
1_pop_6,66.56534542253809,None,60
1_pop_7,108.29174813102462,Ego,6
1_pop_8,106.13901523931602,NPC,20
1_pop_9,106.72756042874276,NPC,20
2_pop_0,67.5188345141598,None,60
2_pop_1,64.45814564451298,None,60
2_pop_2,106.62173066516412,Ego,6
2_pop_3,104.69276271544624,NPC,5
2_pop_4,105.4920725238344,NPC,5
2_pop_5,64.48081954815959,None,60
2_pop_6,66.35053873975636,None,60
2_pop_7,108.97153394327206,Ego,6
2_pop_8,106.06379316198473,NPC,20
2_pop_9,105.068925977771,NPC,20
3_pop_0,108.61941569244851,Ego,6
3_pop_1,208.8658662799511,Ego,6
3_pop_2,108.29077080836055,Ego,6
3_pop_3,102.57718987285796,NPC,6
4_lis_pop_0,109.1733803653872,Ego,6
4_lis_pop_1,108.53553439448147,Ego,6
4_lis_pop_2,107.97740522652418,Ego,6
4_lis_pop_3,109.31005004220181,Ego,6
5_lis_pop_lis_0,108.16372708430568,Ego,6
5_lis_pop_lis_1,108.34866409450252,Ego,6
5_lis_pop_lis_2,108.60334082664416,Ego,6
5_lis_pop_lis_3,108.26137174008633,Ego,6
6_lis_pop_0,108.39459840231035,Ego,6
6_lis_pop_1,102.41873648045242,NPC,21
6_lis_pop_2,104.30543371653944,NPC,5
6_lis_pop_3,106.64413826716682,Ego,6
6_lis_pop_4,106.64127897472662,Ego,6
6_lis_pop_5,207.171868406562,Ego,14
6_lis_pop_6,105.11343991024545,NPC,20
6_lis_pop_7,108.74149023426604,Ego,6
6_lis_pop_8,203.59669292474513,Ego,14
6_lis_pop_9,103.67493434303701,NPC,5
